id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,not_compliant,status,inactive_loans,emp_length_num,grade_num,sub_grade_num,delinq_2yrs_zero,pub_rec_zero,collections_12_mths_zero,short_emp,payment_inc_ratio,final_d,last_delinq_none,last_record_none,last_major_derog_none
15079351,17151788,12000,12000,12000, 60 months,13.35,275.2,C,C2,welder,2 years,MORTGAGE,50000.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=15079351,,home_improvement,Home improvement,170xx,PA,3.19,0.0,20101201T000000,2.0,,,9.0,0.0,3892,12.9,11.0,f,0.0,0.0,12395.8,12395.8,12000.0,395.75,0.0,0.0,0.0,20140901T000000,11845.4,,20141001T000000,0.0,,1,0,Fully Paid,1,3,4,0.4,1.0,1.0,1.0,0,6.6048,20190601T000000,1,1,1
19116995,21319687,11725,11725,11725, 60 months,14.99,278.88,C,C5,Designer / Front-End Developer,10+ years,MORTGAGE,40000.0,Not Verified,20140601T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19116995,,debt_consolidation,Debt consolidation,495xx,MI,14.88,0.0,20010401T000000,1.0,,,7.0,0.0,10102,44.9,15.0,w,0.0,0.0,836.64,836.64,402.23,434.41,0.0,0.0,0.0,20140901T000000,278.88,,20150201T000000,0.0,,1,0,Charged Off,1,11,4,1.0,1.0,1.0,1.0,0,8.3664,20190601T000000,1,1,1
19106911,21309590,8500,8500,8500, 36 months,10.99,278.24,B,B3,Legal Assistant,4 years,RENT,32000.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19106911,,debt_consolidation,Debt consolidation,336xx,FL,29.14,0.0,19980501T000000,1.0,,,9.0,0.0,4586,34.2,11.0,w,0.0,0.0,9057.5,9057.5,8500.0,557.5,0.0,0.0,0.0,20150101T000000,7388.06,,20150201T000000,0.0,,1,0,Fully Paid,1,5,5,0.6,1.0,1.0,1.0,0,10.434,20170601T000000,1,1,1
19035590,21218352,10000,10000,10000, 36 months,11.67,330.57,B,B4,Nursing Assistant,6 years,MORTGAGE,60000.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19035590,,home_improvement,Home improvement,381xx,TN,24.02,0.0,20050201T000000,0.0,62.0,,11.0,0.0,6111,44.6,29.0,f,0.0,0.0,10375.3,10375.3,10000.0,375.3,0.0,0.0,0.0,20141001T000000,9383.59,,20141101T000000,0.0,62.0,1,0,Fully Paid,1,7,5,0.8,1.0,1.0,1.0,0,6.6114,20170601T000000,0,1,0
12646312,14648464,14400,14400,14400, 36 months,17.57,517.5,D,D4,Counselor ,4 years,OWN,40000.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12646312,,home_improvement,Home improvement,280xx,NC,20.46,0.0,20000701T000000,1.0,,,18.0,0.0,15333,34.2,34.0,w,0.0,0.0,15596.4,15596.4,14400.0,1196.36,0.0,0.0,0.0,20141201T000000,13008.9,,20141201T000000,0.0,,1,0,Fully Paid,1,5,3,0.8,1.0,1.0,1.0,0,15.525,20170601T000000,1,1,1
19096968,21299655,27500,27500,27500, 60 months,18.99,713.22,E,E1,process specialist,10+ years,MORTGAGE,70000.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19096968,,credit_card,Credit card refinancing,285xx,NC,12.72,0.0,20041001T000000,2.0,,,5.0,0.0,15811,95.2,13.0,f,0.0,0.0,30585.7,30585.7,27500.0,3085.74,0.0,0.0,0.0,20150101T000000,26306.4,,20150101T000000,0.0,,1,0,Fully Paid,1,11,2,0.2,1.0,1.0,1.0,0,12.2266,20190601T000000,1,1,1
19136844,21339525,14000,14000,14000, 60 months,19.52,367.19,E,E2,radiology tch,10+ years,MORTGAGE,55000.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19136844,,debt_consolidation,Debt consolidation,923xx,CA,7.99,2.0,19981201T000000,1.0,7.0,,9.0,0.0,6631,53.0,23.0,w,0.0,0.0,15331.6,15331.6,14000.0,1331.63,0.0,0.0,0.0,20141201T000000,13495.7,,20150201T000000,0.0,7.0,1,0,Fully Paid,1,11,2,0.4,0.0,1.0,1.0,0,8.01142,20190601T000000,0,1,0
19146939,21349641,6000,6000,6000, 36 months,6.03,182.62,A,A1,Operations Supervisor,2 years,RENT,55000.0,Not Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19146939,,debt_consolidation,Debt consolidation,111xx,NY,4.07,0.0,19900901T000000,0.0,,,4.0,0.0,8143,13.0,11.0,w,0.0,0.0,6144.45,6144.45,6000.0,144.45,0.0,0.0,0.0,20150101T000000,48.73,,20150101T000000,0.0,,1,0,Fully Paid,1,3,6,0.2,1.0,1.0,1.0,0,3.98444,20170601T000000,1,1,1
19206812,21409515,10000,10000,10000, 36 months,10.15,323.38,B,B2,Server/Bartender,8 years,MORTGAGE,58000.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19206812,,debt_consolidation,Debt consolidation,631xx,MO,19.41,0.0,20061101T000000,1.0,,,14.0,0.0,18058,52.3,27.0,w,0.0,0.0,10625.9,10625.9,10000.0,625.94,0.0,0.0,0.0,20150201T000000,8362.28,,20150201T000000,0.0,,1,0,Fully Paid,1,9,5,0.4,1.0,1.0,1.0,0,6.69062,20170601T000000,1,1,1
19146886,21349589,12000,12000,11950, 36 months,12.99,404.27,C,C1,Career Counselor,3 years,MORTGAGE,35000.0,Source Verified,20140601T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=19146886,,debt_consolidation,Debt consolidation,148xx,NY,24.49,8.0,19961001T000000,1.0,1.0,,13.0,0.0,2946,53.6,47.0,f,0.0,0.0,12896.4,12842.7,12000.0,896.39,0.0,0.0,0.0,20150101T000000,10470.8,,20150101T000000,0.0,6.0,1,0,Fully Paid,1,4,4,0.2,0.0,1.0,1.0,0,13.8607,20170601T000000,0,1,0
